nthreads,test,routine,MFLOPS
5,xcl2,hpr2,60018.38
5,xcl2,her2,56979.16
5,xzl2,gbmv,1890.25
5,xzl2,gemv,22209.78
5,xzl2,hbmv,1653.50
5,xzl2,hpmv,36017.18
5,xzl2,hemv,38263.07
5,xzl2,tbmv,1126.18
5,xzl2,tpmv,22824.23
5,xzl2,trmv,21080.30
5,xzl2,tbsv,1015.66
5,xzl2,tpsv,6647.41
5,xzl2,trsv,6124.92
5,xdl2,gbmv,848.86
5,xdl2,gemv,11091.92
5,xdl2,sbmv,523.07
5,xdl2,spmv,5665.01
5,xdl2,symv,22349.03
5,xdl2,tbmv,426.83
5,xdl2,tpmv,11566.83
5,xdl2,trmv,10557.33
5,xdl2,tbsv,373.92
5,xdl2,tpsv,3841.80
5,xdl2,trsv,3344.48
5,xdl2,ger,8931.27
5,xdl2,ger2,9065.96
5,xdl2,spr,9019.45
5,xdl2,syr,8626.53
5,xdl2,spr2,15481.03
5,xdl2,syr2,14822.91
5,xsl2,gbmv,1211.93
5,xsl2,gemv,21742.97
5,xsl2,sbmv,775.25
5,xsl2,spmv,11451.76
5,xsl2,symv,41081.00
5,xsl2,tbmv,672.53
5,xsl2,tpmv,23927.03
5,xsl2,trmv,18870.98
5,xsl2,tbsv,416.75
5,xsl2,tpsv,8244.97
5,xsl2,trsv,6849.11
5,xsl2,ger,16859.55
5,xsl2,ger2,17339.03
5,xsl2,spr,17954.72
5,xsl2,syr,15402.82
5,xsl2,spr2,30935.01
5,xsl2,syr2,27067.10
5,xcl3,gemm,574595.68
5,xcl3,hemm,570806.62
5,xcl3,herk,426370.21
5,xcl3,her2k,457129.93
5,xcl3,symm,545294.66
5,xcl3,syr2k,480507.45
5,xcl3,syrk,444464.88
5,xcl3,trmm,371986.71
5,xcl3,trsm,290278.08
5,xzl3,gemm,292066.00
5,xzl3,hemm,287896.40
5,xzl3,herk,223111.18
5,xzl3,her2k,251904.86
5,xzl3,symm,288734.96
5,xzl3,syr2k,236614.58
5,xzl3,syrk,213947.78
5,xzl3,trmm,197221.63
5,xzl3,trsm,191232.15
5,xdl3,gemm,242506.90
5,xdl3,symm,214383.88
5,xdl3,syrk,141490.02
5,xdl3,syr2k,169749.78
5,xdl3,trmm,205664.72
5,xdl3,trsm,82926.45
5,xsl3,gemm,441447.68
5,xsl3,symm,351315.71
5,xsl3,syrk,244798.96
5,xsl3,syr2k,315648.02
5,xsl3,trmm,323412.10
5,xsl3,trsm,160163.16
6,xcl1,nrm2,13452.91
6,xcl1,amax,5221.48
6,xcl1,asum,8925.05
6,xcl1,axpy,22000.48
6,xcl1,copy,1956.85
6,xcl1,swap,3072.97
6,xcl1,dotc,8425.60
6,xcl1,dotu,8412.60
6,xzl1,nrm2,6520.75
6,xzl1,amax,2354.83
6,xzl1,asum,3746.85
6,xzl1,axpy,11039.83
6,xzl1,copy,914.21
6,xzl1,swap,1498.67
6,xzl1,dotc,12505.93
6,xzl1,dotu,12680.87
6,xdl1,nrm2,3605.81
6,xdl1,amax,2850.17
6,xdl1,asum,5025.25
6,xdl1,axpy,5540.17
6,xdl1,copy,925.88
6,xdl1,swap,1523.85
6,xdl1,dot,6498.18
6,xdl1,rotm,4055.05
6,xsl1,nrm2,6889.28
6,xsl1,amax,7439.35
6,xsl1,asum,11752.85
6,xsl1,axpy,11624.61
6,xsl1,copy,2088.60
6,xsl1,swap,3359.92
6,xsl1,dot,5288.46
6,xsl1,rotm,6835.63
6,xsl1,dsdot,4588.42
6,xsl1,sdsdot,4854.57
6,xcl2,gbmv,2985.95
6,xcl2,gemv,43112.78
6,xcl2,hbmv,1355.00
6,xcl2,hpmv,67995.32
6,xcl2,hemv,65888.37
6,xcl2,tbmv,1753.63
6,xcl2,tpmv,44935.86
6,xcl2,trmv,39658.75
6,xcl2,tbsv,1076.67
6,xcl2,tpsv,14392.91
6,xcl2,trsv,13110.68
6,xcl2,gerc,34896.22
6,xcl2,geru,34612.56
6,xcl2,ger2c,34834.92
6,xcl2,ger2u,34968.40
6,xcl2,hpr,35305.71
6,xcl2,her,33025.38
6,xcl2,hpr2,60502.81
6,xcl2,her2,57489.77
6,xzl2,gbmv,1968.53
6,xzl2,gemv,22054.97
6,xzl2,hbmv,1670.87
6,xzl2,hpmv,35919.13
6,xzl2,hemv,38327.03
6,xzl2,tbmv,1194.55
6,xzl2,tpmv,22826.77
6,xzl2,trmv,21303.58
6,xzl2,tbsv,1027.17
6,xzl2,tpsv,6688.85
6,xzl2,trsv,6205.60
6,xdl2,gbmv,828.97
6,xdl2,gemv,11191.28
6,xdl2,sbmv,529.17
6,xdl2,spmv,5740.27
6,xdl2,symv,21815.83
6,xdl2,tbmv,455.61
6,xdl2,tpmv,11534.20
6,xdl2,trmv,10432.78
6,xdl2,tbsv,369.35
6,xdl2,tpsv,3871.25
6,xdl2,trsv,3469.63
6,xdl2,ger,8880.35
6,xdl2,ger2,8955.91
6,xdl2,spr,8983.00
6,xdl2,syr,8414.37
6,xdl2,spr2,15189.27
6,xdl2,syr2,14381.33
6,xsl2,gbmv,1307.16
6,xsl2,gemv,21720.87
6,xsl2,sbmv,722.78
6,xsl2,spmv,11700.65
6,xsl2,symv,39957.72
6,xsl2,tbmv,697.67
6,xsl2,tpmv,23843.26
6,xsl2,trmv,18561.41
6,xsl2,tbsv,378.81
6,xsl2,tpsv,8551.95
6,xsl2,trsv,6993.52
6,xsl2,ger,16931.52
6,xsl2,ger2,17251.11
6,xsl2,spr,18206.28
6,xsl2,syr,15111.28
6,xsl2,spr2,31072.18
6,xsl2,syr2,27277.52
6,xcl3,gemm,566933.96
6,xcl3,hemm,567075.97
6,xcl3,herk,422981.43
6,xcl3,her2k,470625.31
6,xcl3,symm,573914.46
6,xcl3,syr2k,461438.33
6,xcl3,syrk,447434.08
6,xcl3,trmm,367887.83
6,xcl3,trsm,285550.16
6,xzl3,gemm,285073.10
6,xzl3,hemm,289837.18
6,xzl3,herk,212661.81
6,xzl3,her2k,245759.31
6,xzl3,symm,286653.83
6,xzl3,syr2k,237590.25
6,xzl3,syrk,206774.51
6,xzl3,trmm,200258.47
6,xzl3,trsm,193629.53
6,xdl3,gemm,253222.02
6,xdl3,symm,215583.28
6,xdl3,syrk,135520.65
6,xdl3,syr2k,165744.51
6,xdl3,trmm,194724.53
6,xdl3,trsm,82650.92
6,xsl3,gemm,444112.63
6,xsl3,symm,355927.18
6,xsl3,syrk,233777.00
6,xsl3,syr2k,302758.22
